,Date,Volume,Price,Price_1d,Price_2d,Price_3d,Nasdaq,Nasdaq_1d,Nasdaq_2d,Nasdaq_3d,neg_per
31,2020-02-18,81908500,171.679993,160.005997,160.800003,153.457993,9732.740234,9731.179688,9711.969727,9725.959961,0.19841840402588065
32,2020-02-19,127115000,183.483994,171.679993,160.005997,160.800003,9817.179688,9732.740234,9731.179688,9711.969727,0.23646071700991608
33,2020-02-20,88174500,179.882004,183.483994,171.679993,160.005997,9750.969727,9817.179688,9732.740234,9731.179688,0.2140921409214092
34,2020-02-21,71574000,180.199997,179.882004,183.483994,171.679993,9576.589844,9750.969727,9817.179688,9732.740234,0.16807909604519775
35,2020-02-24,75961000,166.757996,180.199997,179.882004,183.483994,9221.280273,9576.589844,9750.969727,9817.179688,0.24405506883604505
36,2020-02-25,86452500,159.98199499999996,166.757996,180.199997,179.882004,8965.610352,9221.280273,9576.589844,9750.969727,0.2713963963963964
37,2020-02-26,70427500,155.759995,159.98199499999996,166.757996,180.199997,8980.780273,8965.610352,9221.280273,9576.589844,0.4101508916323731
38,2020-02-27,121386000,135.800003,155.759995,159.98199499999996,166.757996,8566.480469,8980.780273,8965.610352,9221.280273,0.2924137931034483
39,2020-02-28,122821000,133.598007,135.800003,155.759995,159.98199499999996,8567.370117,8566.480469,8980.780273,8965.610352,0.30362537764350456
40,2020-03-02,100975000,148.723999,133.598007,135.800003,155.759995,8952.169922,8567.370117,8566.480469,8980.780273,0.24089635854341737
41,2020-03-03,128920000,149.102005,148.723999,133.598007,135.800003,8684.089844,8952.169922,8567.370117,8566.480469,0.2352168199737188
42,2020-03-04,75245000,149.899994,149.102005,148.723999,133.598007,9018.089844,8684.089844,8952.169922,8567.370117,0.2538787023977433
43,2020-03-05,54263500,144.908005,149.899994,149.102005,148.723999,8738.589844,9018.089844,8684.089844,8952.169922,0.2556291390728477
44,2020-03-06,63314500,140.695999,144.908005,149.899994,149.102005,8575.620117,8738.589844,9018.089844,8684.089844,0.2564841498559078
45,2020-03-09,85368500,121.599998,140.695999,144.908005,149.899994,7950.680176000002,8575.620117,8738.589844,9018.089844,0.2984126984126984
46,2020-03-10,77972000,129.065994,121.599998,140.695999,144.908005,8344.25,7950.680176000002,8575.620117,8738.589844,0.23557126030624265
47,2020-03-11,66612500,126.846001,129.065994,121.599998,140.695999,7952.049805,8344.25,7950.680176000002,8575.620117,0.236144578313253
48,2020-03-12,94545500,112.110001,126.846001,129.065994,121.599998,7201.799805,7952.049805,8344.25,7950.680176000002,0.31825273010920435
49,2020-03-13,113201500,109.323997,112.110001,126.846001,129.065994,7874.879883,7201.799805,7952.049805,8344.25,0.3005671077504726
50,2020-03-16,102447500,89.014,109.323997,112.110001,126.846001,6904.589844,7874.879883,7201.799805,7952.049805,0.2804642166344294
51,2020-03-17,119973000,86.040001,89.014,109.323997,112.110001,7334.779785,6904.589844,7874.879883,7201.799805,0.3732876712328767
52,2020-03-18,118931000,72.244003,86.040001,89.014,109.323997,6989.839844,7334.779785,6904.589844,7874.879883,0.44655172413793104
53,2020-03-19,150977500,85.52799999999999,72.244003,86.040001,89.014,7150.580078,6989.839844,7334.779785,6904.589844,0.45874587458745875
54,2020-03-20,141427500,85.505997,85.52799999999999,72.244003,86.040001,6879.52002,7150.580078,6989.839844,7334.779785,0.44840525328330205
