,Date,neg_per
156,2020-06-05,0.19573643410852712
157,2020-06-06,0.20910973084886128
158,2020-06-07,0.19144144144144143
159,2020-06-08,0.23644578313253012
160,2020-06-09,0.23645970937912814
161,2020-06-10,0.17933130699088146
162,2020-06-11,0.23613963039014374
163,2020-06-12,0.19047619047619047
164,2020-06-13,0.2638580931263858
165,2020-06-14,0.3260340632603406
166,2020-06-15,0.22857142857142856
167,2020-06-16,0.20842824601366744
168,2020-06-17,0.25335120643431636
169,2020-06-18,0.1991643454038997
170,2020-06-19,0.21706586826347304
171,2020-06-20,0.22817460317460317
172,2020-06-21,0.225
173,2020-06-22,0.26142857142857145
174,2020-06-23,0.2838235294117647
175,2020-06-24,0.27395209580838326
176,2020-06-25,0.307475317348378
177,2020-06-26,0.2710843373493976
