,Date,Volume,Price,Price_1d,Price_2d,Price_3d,Nasdaq,Nasdaq_1d,Nasdaq_2d,Nasdaq_3d
61,2020-03-31,88857500,104.800003,100.42600300000001,102.872002,105.63200400000001,7700.100098000001,7774.149901999999,7502.379883,7797.540039
62,2020-04-01,66766000,96.311996,104.800003,100.42600300000001,102.872002,7360.580078,7700.100098000001,7774.149901999999,7502.379883
63,2020-04-02,99292000,90.893997,96.311996,104.800003,100.42600300000001,7487.310059,7360.580078,7700.100098000001,7774.149901999999
64,2020-04-03,22562100,96.001999,90.893997,96.311996,104.800003,7373.080078,7487.310059,7360.580078,7700.100098000001
65,2020-04-06,14901800,103.248001,96.001999,90.893997,96.311996,7913.240234000001,7373.080078,7487.310059,7360.580078
66,2020-04-07,17919800,109.089996,103.248001,96.001999,90.893997,7887.259765999999,7913.240234000001,7373.080078,7487.310059
67,2020-04-08,12656000,109.76799799999999,109.089996,103.248001,96.001999,8090.899901999999,7887.259765999999,7913.240234000001,7373.080078
68,2020-04-09,13650000,114.599998,109.76799799999999,109.089996,103.248001,8153.580078,8090.899901999999,7887.259765999999,7913.240234000001
69,2020-04-13,22475400,130.190002,114.599998,109.76799799999999,109.089996,8192.419922,8153.580078,8090.899901999999,7887.259765999999
70,2020-04-14,30576500,141.977997,130.190002,114.599998,109.76799799999999,8515.740234,8192.419922,8153.580078,8090.899901999999
71,2020-04-15,23577000,145.966003,141.977997,130.190002,114.599998,8393.179688,8515.740234,8192.419922,8153.580078
72,2020-04-16,20657900,149.042007,145.966003,141.977997,130.190002,8532.360352,8393.179688,8515.740234,8192.419922
73,2020-04-17,13128200,150.778,149.042007,145.966003,141.977997,8650.139648,8532.360352,8393.179688,8515.740234
74,2020-04-20,14746600,149.272003,150.778,149.042007,145.966003,8560.730469,8650.139648,8532.360352,8393.179688
75,2020-04-21,20209100,137.34399399999998,149.272003,150.778,149.042007,8263.230469,8560.730469,8650.139648,8532.360352
76,2020-04-22,14224800,146.421997,137.34399399999998,149.272003,150.778,8495.379883,8263.230469,8560.730469,8650.139648
77,2020-04-23,13236700,141.12600700000002,146.421997,137.34399399999998,149.272003,8494.75,8495.379883,8263.230469,8560.730469
78,2020-04-24,13237600,145.029999,141.12600700000002,146.421997,137.34399399999998,8634.519531,8494.75,8495.379883,8263.230469
79,2020-04-27,20681400,159.75,145.029999,141.12600700000002,146.421997,8730.160156,8634.519531,8494.75,8495.379883
80,2020-04-28,15222000,153.824005,159.75,145.029999,141.12600700000002,8607.730469,8730.160156,8634.519531,8494.75
81,2020-04-29,16216000,160.102005,153.824005,159.75,145.029999,8914.709961,8607.730469,8730.160156,8634.519531
82,2020-04-30,28471900,156.37600700000002,160.102005,153.824005,159.75,8889.549805,8914.709961,8607.730469,8730.160156
83,2020-05-01,32531800,140.26400800000002,156.37600700000002,160.102005,153.824005,8604.950195,8889.549805,8914.709961,8607.730469
84,2020-05-04,19237100,152.238007,140.26400800000002,156.37600700000002,160.102005,8710.709961,8604.950195,8889.549805,8914.709961
85,2020-05-05,16991700,153.641998,152.238007,140.26400800000002,156.37600700000002,8809.120117,8710.709961,8604.950195,8889.549805
86,2020-05-06,11123200,156.516006,153.641998,152.238007,140.26400800000002,8854.389648,8809.120117,8710.709961,8604.950195
87,2020-05-07,11527700,156.007996,156.516006,153.641998,152.238007,8979.660156,8854.389648,8809.120117,8710.709961
88,2020-05-08,16130100,163.884003,156.007996,156.516006,153.641998,9121.320313,8979.660156,8854.389648,8809.120117
89,2020-05-11,16519600,162.257996,163.884003,156.007996,156.516006,9192.339844,9121.320313,8979.660156,8854.389648
90,2020-05-12,15906900,161.882004,162.257996,163.884003,156.007996,9002.549805,9192.339844,9121.320313,8979.660156
91,2020-05-13,19065500,158.192001,161.882004,162.257996,163.884003,8863.169922,9002.549805,9192.339844,9121.320313
92,2020-05-14,13682200,160.666,158.192001,161.882004,162.257996,8943.719727,8863.169922,9002.549805,9192.339844
93,2020-05-15,10518400,159.834,160.666,158.192001,161.882004,9014.55957,8943.719727,8863.169922,9002.549805
94,2020-05-18,11698100,162.725998,159.834,160.666,158.192001,9234.830078,9014.55957,8943.719727,8863.169922
95,2020-05-19,9636500,161.602005,162.725998,159.834,160.666,9185.099609,9234.830078,9014.55957,8943.719727
96,2020-05-20,7309300,163.112,161.602005,162.725998,159.834,9375.780273,9185.099609,9234.830078,9014.55957
97,2020-05-21,12254600,165.520004,163.112,161.602005,162.725998,9284.879883,9375.780273,9185.099609,9234.830078
98,2020-05-22,9976900,163.37600700000002,165.520004,163.112,161.602005,9324.589844,9284.879883,9375.780273,9185.099609
99,2020-05-26,40448500,163.774002,163.37600700000002,165.520004,163.112,9340.219727,9324.589844,9284.879883,9375.780273
100,2020-05-27,57747500,164.046005,163.774002,163.37600700000002,165.520004,9412.360352,9340.219727,9324.589844,9284.879883
101,2020-05-28,36278000,161.162003,164.046005,163.774002,163.37600700000002,9368.990234,9412.360352,9340.219727,9324.589844
102,2020-05-29,59062500,167.0,161.162003,164.046005,163.774002,9489.870117,9368.990234,9412.360352,9340.219727
103,2020-06-01,74697500,179.619995,167.0,161.162003,164.046005,9552.049805,9489.870117,9368.990234,9412.360352
104,2020-06-02,67828000,176.311996,179.619995,167.0,161.162003,9608.379883,9552.049805,9489.870117,9368.990234
105,2020-06-03,39747500,176.591995,176.311996,179.619995,167.0,9682.910156,9608.379883,9552.049805,9489.870117
106,2020-06-04,44438500,172.87600700000002,176.591995,176.311996,179.619995,9615.80957,9682.910156,9608.379883,9552.049805
107,2020-06-05,39059500,177.132004,172.87600700000002,176.591995,176.311996,9814.080078,9615.80957,9682.910156,9608.379883
108,2020-06-08,70873500,189.983994,177.132004,172.87600700000002,176.591995,9924.75,9814.080078,9615.80957,9682.910156
109,2020-06-09,56941000,188.134003,189.983994,177.132004,172.87600700000002,9953.75,9924.75,9814.080078,9615.80957
110,2020-06-10,92817000,205.009995,188.134003,189.983994,177.132004,10020.349609,9953.75,9924.75,9814.080078
111,2020-06-11,79582500,194.567993,205.009995,188.134003,189.983994,9492.730469,10020.349609,9953.75,9924.75
112,2020-06-12,83817000,187.056,194.567993,205.009995,188.134003,9588.80957,9492.730469,10020.349609,9953.75
113,2020-06-15,78486000,198.179993,187.056,194.567993,205.009995,9726.019531,9588.80957,9492.730469,10020.349609
114,2020-06-16,70255500,196.425995,198.179993,187.056,194.567993,9895.870117,9726.019531,9588.80957,9492.730469
115,2020-06-17,49454000,198.358002,196.425995,198.179993,187.056,9910.530273,9895.870117,9726.019531,9588.80957
116,2020-06-18,48759500,200.792007,198.358002,196.425995,198.179993,9943.049805,9910.530273,9895.870117,9726.019531
117,2020-06-19,43398500,200.179993,200.792007,198.358002,196.425995,9946.120117,9943.049805,9910.530273,9895.870117
118,2020-06-22,31812000,198.863998,200.179993,200.792007,198.358002,10056.480469,9946.120117,9943.049805,9910.530273
119,2020-06-23,31826500,200.35600300000002,198.863998,200.179993,200.792007,10131.370117,10056.480469,9946.120117,9943.049805
120,2020-06-24,54798000,192.169998,200.35600300000002,198.863998,200.179993,9909.169922,10131.370117,10056.480469,9946.120117
121,2020-06-25,46272500,197.195999,192.169998,200.35600300000002,198.863998,10017.0,9909.169922,10131.370117,10056.480469
122,2020-06-26,44274500,191.94799799999998,197.195999,192.169998,200.35600300000002,9757.219727,10017.0,9909.169922,10131.370117
123,2020-06-29,45132000,201.869995,191.94799799999998,197.195999,192.169998,9874.150391,9757.219727,10017.0,9909.169922
124,2020-06-30,84592500,215.962006,201.869995,191.94799799999998,197.195999,10058.769531,9874.150391,9757.219727,10017.0
125,2020-07-01,66634500,223.92599500000003,215.962006,201.869995,191.94799799999998,10154.629883,10058.769531,9874.150391,9757.219727
126,2020-07-02,86250500,241.731995,223.92599500000003,215.962006,201.869995,10207.629883,10154.629883,10058.769531,9874.150391
127,2020-07-06,102849500,274.31601,241.731995,223.92599500000003,215.962006,10433.650391,10207.629883,10154.629883,10058.769531
128,2020-07-07,107448500,277.971985,274.31601,241.731995,223.92599500000003,10343.889648,10433.650391,10207.629883,10154.629883
129,2020-07-08,81556500,273.175995,277.971985,274.31601,241.731995,10492.5,10343.889648,10433.650391,10207.629883
130,2020-07-09,58588000,278.85598799999997,273.175995,277.971985,274.31601,10547.75,10492.5,10343.889648,10433.650391
131,2020-07-10,116688000,308.929993,278.85598799999997,273.175995,277.971985,10617.44043,10547.75,10492.5,10343.889648
132,2020-07-13,194927000,299.411987,308.929993,278.85598799999997,273.175995,10390.839844,10617.44043,10547.75,10492.5
133,2020-07-14,117090500,303.359985,299.411987,308.929993,278.85598799999997,10488.580078,10390.839844,10617.44043,10547.75
134,2020-07-15,81839000,309.201996,303.359985,299.411987,308.929993,10550.490234,10488.580078,10390.839844,10617.44043
135,2020-07-16,71504000,300.127991,309.201996,303.359985,299.411987,10473.830078,10550.490234,10488.580078,10390.839844
